"Index Name","Date","Open","High","Low","Close"
"NIFTY 500","21 Feb 2025","20792.05","20903.35","20616.6","20690.25"
"NIFTY 500","20 Feb 2025","20645.7","20840.35","20630.2","20831.10"
"NIFTY 500","19 Feb 2025","20511.2","20802.55","20459.2","20731.45"
"NIFTY 500","18 Feb 2025","20663.6","20692.3","20466.75","20611.40"
"NIFTY 500","17 Feb 2025","20511.05","20667.55","20339","20652.35"
"NIFTY 500","14 Feb 2025","20964.6","20984.7","20476.65","20633.10"
"NIFTY 500","13 Feb 2025","20926","21122","20866.5","20904.35"
"NIFTY 500","12 Feb 2025","20924.15","21002","20545.75","20907.85"
"NIFTY 500","11 Feb 2025","21366.25","21376.45","20860.6","20950.45"
"NIFTY 500","10 Feb 2025","21636.2","21659.25","21301.85","21371.30"
"NIFTY 500","07 Feb 2025","21703.75","21765.15","21521.75","21646.15"
"NIFTY 500","06 Feb 2025","21860.1","21870.9","21620.15","21672.45"
"NIFTY 500","05 Feb 2025","21797.7","21870.4","21763.7","21784.25"
"NIFTY 500","04 Feb 2025","21551.4","21743.55","21474.45","21727.45"
"NIFTY 500","03 Feb 2025","21422.85","21445.95","21286.7","21402.55"
"NIFTY 500","01 Feb 2025","21628.65","21713.95","21388.2","21581.75"
"NIFTY 500","31 Jan 2025","21339.35","21613","21310.3","21580.90"
"NIFTY 500","30 Jan 2025","21282.1","21404.2","21209.6","21297.50"
"NIFTY 500","29 Jan 2025","20971.4","21259.85","20968.35","21245.50"
"NIFTY 500","28 Jan 2025","21009.2","21100.45","20757.9","20924.75"
"NIFTY 500","27 Jan 2025","21158.85","21163","20861.15","20910.95"
"NIFTY 500","24 Jan 2025","21533.05","21611.2","21279","21318.90"
"NIFTY 500","23 Jan 2025","21377.8","21595","21338.95","21538.05"
"NIFTY 500","22 Jan 2025","21484.45","21500.3","21178.8","21396.55"
"NIFTY 500","21 Jan 2025","21855.1","21863.05","21411.3","21433.20"
"NIFTY 500","20 Jan 2025","21769.95","21848.95","21628.5","21809.00"
"NIFTY 500","17 Jan 2025","21699.45","21730.85","21563.8","21680.25"
"NIFTY 500","16 Jan 2025","21734.4","21776.35","21687.45","21714.55"
"NIFTY 500","15 Jan 2025","21572.45","21634.6","21445.4","21551.20"
"NIFTY 500","14 Jan 2025","21328","21528.7","21325","21481.05"
"NIFTY 500","13 Jan 2025","21557","21630.55","21194.45","21243.45"
"NIFTY 500","10 Jan 2025","22049.4","22075.4","21738.45","21799.00"
"NIFTY 500","09 Jan 2025","22231.05","22239.2","22028.5","22046.55"
"NIFTY 500","08 Jan 2025","22378.15","22384.25","22065.2","22231.80"
"NIFTY 500","07 Jan 2025","22278.15","22435.5","22247.75","22341.65"
"NIFTY 500","06 Jan 2025","22753.65","22757.4","22163.55","22225.40"
"NIFTY 500","03 Jan 2025","22850.1","22867.85","22681.3","22708.15"
"NIFTY 500","02 Jan 2025","22521.75","22833.35","22482.7","22819.75"
"NIFTY 500","01 Jan 2025","22375.85","22518.7","22313.75","22481.80"
"NIFTY 500","31 Dec 2024","22273.7","22414.45","22160.15","22375.40"
"NIFTY 500","30 Dec 2024","22438.15","22522.4","22266.15","22357.15"
"NIFTY 500","27 Dec 2024","22473.9","22555.45","22435.55","22445.20"
"NIFTY 500","26 Dec 2024","22444.7","22492.3","22324.6","22430.35"
"NIFTY 500","24 Dec 2024","22431.6","22516.3","22340.1","22402.70"
"NIFTY 500","23 Dec 2024","22446.6","22535.2","22331.5","22412.30"
"NIFTY 500","20 Dec 2024","22783.65","22855","22279.9","22319.40"
"NIFTY 500","19 Dec 2024","22594.95","22782.25","22590","22752.15"
"NIFTY 500","18 Dec 2024","23076.95","23125.55","22876.7","22934.40"
"NIFTY 500","17 Dec 2024","23308.9","23349.1","23067.3","23095.75"
"NIFTY 500","16 Dec 2024","23370.55","23417.65","23281.2","23352.45"
"NIFTY 500","13 Dec 2024","23208.35","23378.55","22879.9","23358.95"
"NIFTY 500","12 Dec 2024","23348.7","23386.25","23242.75","23256.40"
"NIFTY 500","11 Dec 2024","23326.7","23394.2","23301.15","23358.15"
"NIFTY 500","10 Dec 2024","23328.8","23341.35","23216.25","23314.90"
"NIFTY 500","09 Dec 2024","23289.4","23351.9","23243.3","23292.00"
"NIFTY 500","06 Dec 2024","23315.8","23358.2","23221.7","23312.10"
"NIFTY 500","05 Dec 2024","23183.3","23357.1","22993.85","23277.95"
"NIFTY 500","04 Dec 2024","23075.95","23149.9","22978.85","23099.50"
"NIFTY 500","03 Dec 2024","22922.6","23029.55","22876.8","23020.85"
"NIFTY 500","02 Dec 2024","22695.4","22843.5","22603.1","22835.85"
"NIFTY 500","29 Nov 2024","22537.8","22733.75","22531.9","22687.00"
"NIFTY 500","28 Nov 2024","22722.3","22821.75","22472.25","22514.35"
"NIFTY 500","27 Nov 2024","22594.2","22732.1","22526.1","22691.70"
"NIFTY 500","26 Nov 2024","22649.3","22675.7","22523","22562.45"
"NIFTY 500","25 Nov 2024","22578.65","22676.25","22510.8","22553.50"
"NIFTY 500","22 Nov 2024","21864.65","22260.15","21819.2","22225.55"
"NIFTY 500","21 Nov 2024","21947.75","21954.2","21692.8","21820.85"
"NIFTY 500","19 Nov 2024","21977.65","22233.4","21948.45","22004.35"
"NIFTY 500","18 Nov 2024","22045.9","22049.15","21787.35","21899.40"
"NIFTY 500","14 Nov 2024","21924.1","22096.85","21907.55","21963.10"
"NIFTY 500","13 Nov 2024","22263","22309.8","21867.7","21914.95"
"NIFTY 500","12 Nov 2024","22664.2","22721.9","22286.85","22331.05"
"NIFTY 500","11 Nov 2024","22590.1","22770.55","22478.7","22591.40"
"NIFTY 500","08 Nov 2024","22821.9","22857.1","22600.25","22645.65"
"NIFTY 500","07 Nov 2024","23067.15","23073.55","22793.9","22806.25"
"NIFTY 500","06 Nov 2024","22782.2","23052.2","22720.3","23031.20"
"NIFTY 500","05 Nov 2024","22458.3","22697.5","22343.95","22679.85"
"NIFTY 500","04 Nov 2024","22831.8","22832.65","22362.65","22518.30"
"NIFTY 500","01 Nov 2024","22806.95","22881.5","22799.7","22823.55"
"NIFTY 500","31 Oct 2024","22758.6","22779.5","22621.1","22689.35"
"NIFTY 500","30 Oct 2024","22731.15","22896.55","22685.4","22749.80"
"NIFTY 500","29 Oct 2024","22670.8","22808.8","22450","22795.05"
"NIFTY 500","28 Oct 2024","22548.7","22756.05","22407","22649.95"
"NIFTY 500","25 Oct 2024","22819.8","22839.2","22362.8","22499.05"
"NIFTY 500","24 Oct 2024","22841.85","22893.2","22747.55","22787.85"
"NIFTY 500","23 Oct 2024","22751.8","22989.05","22673.3","22841.10"
"NIFTY 500","22 Oct 2024","23277.1","23306.2","22789.7","22814.45"
"NIFTY 500","21 Oct 2024","23527.6","23559.05","23224.55","23263.25"
"NIFTY 500","18 Oct 2024","23285.65","23471.2","23120.95","23440.70"
"NIFTY 500","17 Oct 2024","23717.3","23720.15","23366","23377.00"
"NIFTY 500","16 Oct 2024","23702.85","23768.15","23588.8","23673.15"
"NIFTY 500","15 Oct 2024","23800.4","23814.95","23662.3","23735.70"
"NIFTY 500","14 Oct 2024","23670.5","23740.2","23646.1","23727.05"
"NIFTY 500","11 Oct 2024","23608.3","23654","23546.3","23611.25"
"NIFTY 500","10 Oct 2024","23695.55","23755.5","23580.6","23598.15"
"NIFTY 500","09 Oct 2024","23600.1","23797.45","23570.7","23599.60"
"NIFTY 500","08 Oct 2024","23175.2","23544.8","23106.5","23512.55"
"NIFTY 500","07 Oct 2024","23616.35","23659.65","23089.5","23181.95"
"NIFTY 500","04 Oct 2024","23704.95","23920.3","23483.4","23534.95"
"NIFTY 500","03 Oct 2024","23931.85","24122","23713","23755.45"
"NIFTY 500","01 Oct 2024","24248.5","24329.45","24191.05","24271.30"
"NIFTY 500","30 Sep 2024","24410","24456.1","24217.4","24245.20"
"NIFTY 500","27 Sep 2024","24529.55","24573.4","24469","24489.55"
"NIFTY 500","26 Sep 2024","24399.15","24512.65","24338.4","24496.90"
"NIFTY 500","25 Sep 2024","24377.25","24394.35","24268.5","24371.25"
"NIFTY 500","24 Sep 2024","24390.05","24429","24353.75","24389.70"
"NIFTY 500","23 Sep 2024","24294.8","24393.7","24262.3","24379.20"
"NIFTY 500","20 Sep 2024","23956.55","24243.15","23885","24193.80"
"NIFTY 500","19 Sep 2024","24012.3","24078","23702","23853.95"
"NIFTY 500","18 Sep 2024","23972.55","24000.3","23800.85","23898.65"
"NIFTY 500","17 Sep 2024","24008.25","24008.25","23912.55","23969.90"
"NIFTY 500","16 Sep 2024","24006.15","24026","23917.5","23968.20"
"NIFTY 500","13 Sep 2024","23966.5","23966.55","23885.2","23928.20"
"NIFTY 500","12 Sep 2024","23680","23934.6","23593.6","23907.35"
"NIFTY 500","11 Sep 2024","23665.1","23723.05","23498.15","23531.25"
"NIFTY 500","10 Sep 2024","23591.85","23712.95","23531.65","23643.65"
"NIFTY 500","09 Sep 2024","23452.85","23526.55","23294.45","23502.15"
"NIFTY 500","06 Sep 2024","23746","23794.35","23434.9","23477.70"
"NIFTY 500","05 Sep 2024","23821","23836.35","23749.05","23762.80"
"NIFTY 500","04 Sep 2024","23611.8","23761.4","23605.35","23748.90"
"NIFTY 500","03 Sep 2024","23817","23817.55","23771.2","23788.45"
"NIFTY 500","02 Sep 2024","23835.2","23835.2","23693.65","23760.70"
